Year,Month,County,Beneficiaries, Benefit_Amounts_Dollars
2001,9,Wyoming,500,"$290,000 "
2001,9,Yates,200,"$130,000 "
2001,9,Dutchess,"2,100","$1,790,000 "
2001,9,Orange,"2,600","$2,020,000 "
2001,9,Putnam,800,"$730,000 "
2001,9,Rockland,"2,200","$2,050,000 "
2001,9,Sullivan,600,"$460,000 "
2001,9,Ulster,"1,700","$1,210,000 "
2001,9,Westchester,"8,500","$8,120,000 "
2001,9,Nassau,"12,600","$12,240,000 "
2001,9,Suffolk,"15,900","$13,460,000 "
2001,9,Fulton,400,"$290,000 "
2001,9,Herkimer,500,"$350,000 "
2001,9,Montgomery,500,"$320,000 "
2001,9,Oneida,"2,200","$1,680,000 "
2001,9,Otsego,400,"$240,000 "
2001,9,Schoharie,200,"$120,000 "
2001,9,Bronx,"16,500","$13,260,000 "
2001,9,Kings,"33,300","$27,710,000 "
2001,9,New York,"25,400","$25,880,000 "
2001,9,Queens,"24,900","$22,210,000 "
2001,9,Richmond,"5,200","$4,630,000 "
2001,9,Clinton,600,"$370,000 "
2001,9,Essex,300,"$180,000 "
2001,9,Franklin,500,"$300,000 "
2001,9,Hamilton,0,"$10,000 "
2001,9,Jefferson,"1,300","$930,000 "
2001,9,Lewis,300,"$200,000 "
2001,9,St. Lawrence,"1,300","$850,000 "
2001,9,Broome,"2,800","$1,870,000 "
2001,9,Chemung,"1,300","$960,000 "
2001,9,Chenango,600,"$430,000 "
2001,9,Delaware,300,"$200,000 "
2001,9,Schuyler,300,"$220,000 "
2001,9,Steuben,"1,400","$1,080,000 "
2001,9,Tioga,900,"$530,000 "
2001,9,Tompkins,500,"$400,000 "
2001,9,Allegany,300,"$220,000 "
2001,9,Cattaraugus,"1,200","$750,000 "
2001,9,Chautauqua,"2,200","$1,260,000 "
2001,9,Erie,"12,000","$8,390,000 "
2001,9,Niagara,"3,600","$2,500,000 "
2001,9,Out-of-State,"21,400","$24,300,000 "
2001,9,Unknown,"1,200","$1,240,000 "
2001,10,Albany,"2,000","$1,900,000 "
2001,10,Columbia,400,"$350,000 "
2001,10,Greene,500,"$410,000 "
2001,10,Rensselaer,"1,600","$1,450,000 "
2001,10,Saratoga,"1,700","$1,810,000 "
2001,10,Schenectady,"1,000","$950,000 "
2001,10,Warren,800,"$910,000 "
2001,10,Washington,700,"$730,000 "
2001,10,Cayuga,"1,100","$780,000 "
2001,10,Cortland,600,"$550,000 "
2001,10,Madison,800,"$660,000 "
2001,10,Onondaga,"5,600","$5,290,000 "
2001,10,Oswego,"2,000","$1,750,000 "
2001,10,Genesee,800,"$740,000 "
2001,10,Livingston,800,"$670,000 "
2001,10,Monroe,"9,000","$9,090,000 "
2001,10,Ontario,"1,200","$1,120,000 "
2001,10,Orleans,500,"$480,000 "
2001,10,Seneca,300,"$250,000 "
2001,10,Wayne,"1,400","$1,270,000 "
2001,10,Wyoming,600,"$420,000 "
2001,10,Yates,200,"$190,000 "
2001,10,Dutchess,"2,100","$2,270,000 "
2001,10,Orange,"2,600","$2,800,000 "
2001,10,Putnam,700,"$940,000 "
2001,10,Rockland,"2,000","$2,450,000 "
2001,10,Sullivan,700,"$600,000 "
2001,10,Ulster,"1,600","$1,510,000 "
2001,10,Westchester,"8,500","$10,430,000 "
2001,10,Nassau,"13,600","$16,320,000 "
2001,10,Suffolk,"14,900","$16,810,000 "
2001,10,Fulton,600,"$390,000 "
2001,10,Herkimer,600,"$480,000 "
2001,10,Montgomery,500,"$430,000 "
2001,10,Oneida,"2,600","$2,020,000 "
2001,10,Otsego,400,"$350,000 "
2001,10,Schoharie,200,"$150,000 "
2001,10,Bronx,"18,600","$18,390,000 "
2001,10,Kings,"36,900","$37,800,000 "
2001,10,New York,"30,000","$35,630,000 "
2001,10,Queens,"30,000","$31,750,000 "
